target_id	length	eff_length	est_counts	tpm
AT1G65620.1	1381	1202	1	1.20239
AT1G12680.1	1933	1754	17	14.0078
AT1G74790.1	2458	2279	22	13.9518
AT1G77510.1	1798	1619	29	25.8882
AT1G43980.1	1866	1687	2	1.71343
AT1G77300.1	5791	5612	21	5.40819
AT1G80340.1	1083	904	0	0
AT1G65985.1	1456	1277	2	2.26355
AT1G43995.1	494	315	0	0
AT1G51340.2	1870	1691	3	2.56406
AT1G31860.1	1065	886	21	34.256
AT1G73450.1	3721	3542	17.2599	7.0427
AT1G21070.1	1663	1484	5	4.86953
AT1G51350.1	2441	2262	10	6.38937
AT1G14950.1	845	666	0	0
AT1G09440.1	1593	1414	5	5.11059
AT1G09390.1	1341	1162	20.687	25.7301
AT1G22840.1	730	551	67.6366	177.411
AT1G09430.1	1838	1659	62	54.0127
AT1G44010.1	778	599	0	0
AT1G80360.1	1492	1313	34	37.4253
AT1G73445.1	735	556	0	0
AT1G74720.1	3757	3578	16	6.46294
AT1G65980.1	890	711	98.3808	199.982
AT1G44000.1	1108	929	39	60.6736
AT1G65940.1	450	271	0	0
AT1G75260.1	1633	1454	1	0.994
AT1G31900.1	258	79.0036	0	0
AT1G14970.1	1825	1646	1	0.878053
AT1G42320.1	4574	4395	0	0
AT1G14960.1	688	509	0	0
AT1G12670.1	305	126	0	0
AT1G73460.1	3703	3524	18.7401	7.68577
AT1G09450.1	2096	1917	1	0.753926
AT1G51355.1	750	571	0	0
AT1G36750.1	1078	899	0	0
AT1G12660.1	414	235	0	0
AT1G75130.1	1660	1481	18	17.5658
AT1G21120.1	1358	1179	0	0
AT1G09740.1	843	664	21	45.709
AT1G21110.1	1385	1206	2.24521	2.69067
AT1G50900.1	793	614	70.4142	165.746
AT1G37000.1	660	481	0	0
AT1G77330.1	1239	1060	17	23.1789
AT1G80400.1	1747	1568	14	12.9042
AT1G74740.1	2047	1868	12	9.28443
AT1G17370.1	1772	1593	53	48.0851
AT1G09750.1	1578	1399	109	112.605
AT1G75220.1	1944	1765	57	46.6746
AT1G65560.1	1399	1220	3	3.55396
AT1G65570.1	1194	1015	0	0
AT1G49660.1	1103	924	12	18.7698
AT1G36680.1	1123	944	0	0
AT1G21100.1	1384	1205	22.7605	27.2989
AT1G29020.1	1695	1516	1	0.953348
AT1G42310.1	1598	1419	0	0
AT1G77310.1	2480	2301	1	0.628108
AT1G44075.1	267	88.0006	0	0
AT1G12610.1	1074	895	0	0
AT1G70820.1	2154	1975	38	27.8078
AT1G70790.2	872	693	6	12.5132
AT1G12640.1	1795	1616	20	17.8871
AT1G12620.1	2407	2228	2	1.29737
AT1G12630.1	587	408	0	0
AT1G65610.1	2115	1936	8	5.97221
AT1G75170.1	1294	1115	5	6.48106
AT1G49680.1	300	121	0	0
AT1G50880.1	840	661	0	0
AT1G36675.1	807	628	0	0
AT1G23180.1	2978	2799	12	6.19625
AT1G09770.1	2934	2755	101	52.9847
AT1G75200.1	2279	2100	11	7.57049
AT1G80390.1	540	361	0	0
AT1G74750.1	2568	2389	4	2.41988
AT1G75210.1	2274	2095	19	13.1075
AT1G44080.1	1044	865	0	0
AT1G65585.1	836	657	0	0
AT1G21140.1	899	720	4	8.02931
AT1G09780.1	1911	1732	71	59.2463
AT1G09790.1	1451	1272	0	0
AT1G09760.1	1190	1011	26	37.1683
AT1G75190.1	846	667	6	13.001
AT1G49730.1	2237	2058	23.4937	16.499
AT1G79220.1	1591	1412	4	4.09427
AT1G50870.1	1191	1012	0	0
AT1G65590.1	1922	1743	33	27.3632
AT1G75180.1	1543	1364	44	46.6218
AT1G09800.1	1442	1263	2	2.28864
AT1G50890.1	2877	2698	6	3.2141
AT1G70810.1	720	541	7	18.7004
AT1G21130.1	1365	1186	82.9943	101.138
AT1G65580.1	3729	3550	35	14.2492
AT1G70800.1	717	538	0	0
AT1G09795.1	1516	1337	31	33.5105
AT1G80380.2	1704	1525	94	89.0858
AT1G55890.1	1455	1276	17	19.2552
AT1G65520.1	962	783	5	9.22909
AT1G49650.1	1383	1204	12	14.4047
AT1G36690.1	2077	1898	0	0
AT1G75230.2	1436	1257	5	5.74891
AT1G44050.1	2253	2074	0	0
AT1G09370.1	540	361	0	0
AT1G50910.1	1927	1748	2.58581	2.13799
AT1G75140.1	2227	2048	8	5.64561
AT1G80370.1	1588	1409	6	6.15447
AT1G36740.1	1888	1709	0	0
AT1G36730.1	2286	2107	27.5	18.8634
AT1G75150.1	2738	2559	2	1.12956
AT1G12580.1	1972	1793	30	24.182
AT1G36720.1	4404	4225	0	0
AT1G36975.1	4391	4212	0	0
AT1G73850.1	2091	1912	5	3.77949
AT1G17380.1	1133	954	0	0
AT1G31885.1	972	793	2	3.64508
AT1G77360.1	1554	1375	1	1.05111
AT1G44030.1	2407	2228	0	0
AT1G65540.1	2211	2032	25	17.7814
AT1G09380.1	1568	1389	0	0
AT1G44045.1	5031	4852	0	0
AT1G44040.1	1401	1222	0	0
AT1G77470.1	1468	1289	4	4.48495
AT1G36745.1	333	154	0	0
AT1G23190.1	2112	1933	49	36.6366
AT1G12570.1	2027	1848	5	3.91038
AT1G36970.1	1320	1141	0	0
AT1G15980.1	1566	1387	87	90.6554
AT1G77490.1	1596	1417	64	65.2771
AT1G10960.1	654	475	120	365.122
AT1G67130.1	1176	997	0	0
AT1G55900.1	1534	1355	7	7.46637
AT1G15990.1	2130	1951	0	0
AT1G75160.1	1465	1286	0	0
AT1G44060.1	2523	2344	0	0
AT1G49640.1	1192	1013	0	0
AT1G36700.1	564	385	0	0
AT1G36990.1	2837	2658	20	10.8749
AT1G44070.1	3855	3676	0	0
AT1G12600.1	1279	1100	1	1.31389
AT1G42300.1	1052	873	0	0
AT1G09730.1	3386	3207	11	4.95729
AT1G77340.1	1486	1307	0	0
AT1G12650.1	1203	1024	12	16.9368
AT1G70840.1	756	577	0	0
AT1G49700.1	840	661	2	4.373
AT1G36980.1	678	499	34	98.4757
AT1G65550.1	1626	1447	0	0
AT1G21090.1	1313	1134	3	3.82348
AT1G28520.1	2129	1950	29	21.4938
AT1G42290.1	3130	2951	0	0
AT1G79600.1	2490	2311	48	30.0187
AT1G36710.1	1294	1115	0	0
AT1G65950.1	1837	1658	3	2.61509
AT1G70850.1	1282	1103	388.214	508.682
AT1G09720.1	2787	2608	0	0
AT1G44085.1	273	94.0001	0	0
AT1G77350.1	813	634	19	43.3127
AT1G80420.1	1510	1331	20	21.7171
AT1G36880.1	1883	1704	0	0
AT1G65930.1	1703	1524	306	290.193
AT1G74930.1	918	739	0	0
AT1G43845.1	597	418	0	0
AT1G51050.1	612	433	0	0
AT1G77410.1	2638	2459	1	0.587749
AT1G74840.1	1190	1011	35	50.0343
AT1G51140.1	1625	1446	11	10.9945
AT1G43850.1	3688	3509	49	20.182
AT1G09550.1	1240	1061	0	0
AT1G51150.1	660	481	0	0
AT1G09640.1	1795	1616	130	116.266
AT1G43840.1	2143	1964	0	0
AT1G36840.1	3210	3031	0	0
AT1G10920.1	2847	2668	6	3.25025
AT1G36850.1	1896	1717	0	0
AT1G09540.1	1498	1319	1	1.09574
AT1G71015.1	840	661	2	4.373
AT1G09630.1	938	759	6	11.4251
AT1G42393.1	657	478	0	0
AT1G77400.1	1054	875	1	1.65174
AT1G74860.1	1598	1419	3	3.05555
AT1G73840.1	1455	1276	20	22.6532
AT1G36925.1	525	346	0	0
AT1G74920.1	1843	1664	84	72.9586
AT1G09580.1	921	742	3	5.84343
AT1G79190.1	4067	3888	9	3.34555
AT1G09575.1	1152	973	9	13.3684
AT1G77405.1	1377	1198	2	2.41281
AT1G36927.1	1317	1138	0	0
AT1G09570.1	3829	3650	180	71.2739
AT1G09560.1	942	763	56	106.075
AT1G74850.1	2977	2798	27	13.9465
AT1G73580.1	507	328	0	0
AT1G43766.1	349	170	0	0
AT1G09590.1	708	529	102.469	279.955
AT1G36830.1	774	595	0	0
AT1G74940.1	1207	1028	13	18.2768
AT1G51010.1	249	70.019	0	0
AT1G65730.1	2371	2192	0	0
AT1G09645.1	751	572	13	32.8472
AT1G36933.1	1802	1623	0	0
AT1G51172.1	2046	1867	0	0
AT1G51175.1	5622	5443	0	0
AT1G70985.1	614	435	0	0
AT1G42440.1	2741	2562	26	14.6671
AT1G51190.1	2136	1957	1	0.738516
AT1G70970.1	1209	1030	0	0
AT1G80470.1	1565	1386	0	0
AT1G51030.1	463	284	0	0
AT1G65710.1	1642	1463	3	2.96365
AT1G09650.1	1478	1299	3	3.33782
AT1G65720.1	815	636	80	181.796
AT1G70980.1	1945	1766	19.5093	15.9662
AT1G43860.1	1373	1194	11	13.3149
AT1G43886.1	6269	6090	5	1.1866
AT1G36800.1	2383	2204	0	0
AT1G71010.1	5205	5026	56	16.1033
AT1G51040.1	1578	1399	0	0
AT1G51160.1	845	666	27	58.5923
AT1G43870.1	888	709	0	0
AT1G20990.1	960	781	3	5.55163
AT1G36810.1	3009	2830	0	0
AT1G65750.1	3668	3489	0	0
AT1G43880.1	1230	1051	0	0
AT1G71000.1	498	319	0	0
AT1G73830.1	939	760	26	49.4436
AT1G51170.1	1435	1256	13	14.9591
AT1G43883.1	5161	4982	0	0
AT1G70990.1	780	601	3	7.21435
AT1G65740.1	1116	937	0	0
AT1G10870.1	2769	2590	15	8.37032
AT1G21000.1	1296	1117	20	25.8778
AT1G79580.1	1534	1355	0	0
AT1G43835.1	783	604	0	0
AT1G21040.1	3352	3173	0	0
AT1G43785.1	5051	4872	0	0
AT1G51130.1	1559	1380	1	1.0473
AT1G31800.1	2070	1891	31.6491	24.1892
AT1G10900.1	2644	2465	30	17.5896
AT1G74900.1	1648	1469	0	0
AT1G21050.1	904	725	23	45.8501
AT1G74890.1	621	442	0	0
AT1G74910.1	1969	1790	90	72.6675
AT1G10910.1	2213	2034	20	14.2112
AT1G42420.1	4887	4708	0	0
AT1G31770.1	2456	2277	20	12.6946
AT1G77380.1	1882	1703	1	0.848664
AT1G51120.1	1059	880	0	0
AT1G51080.1	1009	830	3	5.22389
AT1G51085.1	226	47.5399	0	0
AT1G65845.1	489	310	12	55.9462
AT1G21010.1	818	639	4	9.04711
AT1G43800.1	1401	1222	10	11.8271
AT1G73610.1	1035	856	0	0
AT1G51090.1	767	588	0	0
AT1G42410.1	2347	2168	0	0
AT1G43790.1	523	344	5	21.0069
AT1G54500.1	835	656	76	167.44
AT1G31780.1	2295	2116	19	12.9774
AT1G21020.1	3048	2869	0	0
AT1G65840.1	2183	2004	28	20.1935
AT1G51110.1	1462	1283	36	40.5533
AT1G51100.1	886	707	8	16.3539
AT1G43810.1	354	175	0	0
AT1G31790.1	1329	1150	1	1.25676
AT1G36890.1	3810	3631	0	0
AT1G79170.1	255	76.0064	0	0
AT1G65810.1	3153	2974	0	0
AT1G36915.1	1302	1123	0	0
AT1G43775.1	4255	4076	0	0
AT1G74880.1	788	609	43	102.047
AT1G73590.1	2270	2091	7	4.83832
AT1G65760.1	1089	910	0	0
AT1G31814.1	1895	1716	5	4.21118
AT1G42396.1	945	766	0	0
AT1G09620.1	3720	3541	106	43.2644
AT1G36920.1	573	394	0	0
AT1G74870.1	1223	1044	0	0
AT1G43830.1	3745	3566	0	0
AT1G31812.1	641	462	221	691.355
AT1G10880.1	2017	1838	0	0
AT1G09600.1	2145	1966	2	1.47027
AT1G09610.1	1180	1001	1	1.44383
AT1G65770.1	1083	904	0	0
AT1G36910.1	1460	1281	0	0
AT1G79180.1	1112	933	0	0
AT1G43777.1	726	547	0	0
AT1G51060.1	674	495	46.5878	136.025
AT1G77390.1	1477	1298	0	0
AT1G43780.1	1440	1261	0	0
AT1G31810.1	4209	4030	14.3509	5.14664
AT1G65800.1	2781	2602	15	8.33172
AT1G31760.1	585	406	5	17.799
AT1G77420.1	1565	1386	10	10.4277
AT1G42430.1	1540	1361	12	12.7431
AT1G65790.1	2532	2353	0	0
AT1G54490.1	3219	3040	46	21.8693
AT1G22540.1	2048	1869	11	8.50617
AT1G73600.2	1759	1580	58	53.0544
AT1G51055.1	486	307	0	0
AT1G10890.1	1254	1075	18	24.2
AT1G42400.1	657	478	0	0
AT1G65780.1	3198	3019	0	0
AT1G74950.1	1280	1101	14	18.3777
AT1G70960.1	1110	931	0	0
AT1G73530.1	722	543	21	55.8946
AT1G10930.1	3916	3737	11	4.25422
AT1G70900.1	1191	1012	15	21.4221
AT1G75020.1	1345	1166	3	3.71855
AT1G65670.1	1449	1270	0	0
AT1G70895.1	856	677	2	4.26965
AT1G31820.1	1728	1549	5	4.66519
AT1G42367.1	453	274	0	0
AT1G73510.1	804	625	0	0
AT1G36756.1	390	211	0	0
AT1G20970.1	4673	4494	78	25.0849
AT1G80440.1	1465	1286	118	132.615
AT1G10800.1	434	255	0	0
AT1G65900.1	1575	1396	6	6.21179
AT1G42365.1	5731	5552	0	0
AT1G79200.1	826	647	2	4.46762
AT1G43930.1	3005	2826	0	0
AT1G74820.1	684	505	0	0
AT1G36763.1	315	136	0	0
AT1G70940.1	2563	2384	207	125.492
AT1G23200.1	1905	1726	6	5.02413
AT1G15940.1	3289	3110	20	9.29438
AT1G42375.1	5735	5556	0	0
AT1G36770.1	4106	3927	0	0
AT1G50960.1	1011	832	0	0
AT1G79590.1	1139	960	13	19.5714
AT1G70910.1	486	307	0	0
AT1G10810.1	1253	1074	1	1.34569
AT1G70920.1	1037	858	0	0
AT1G42370.1	1860	1681	0	0
AT1G51290.1	1134	955	0	0
AT1G75010.1	2493	2314	8	4.99663
AT1G43940.1	516	337	0	0
AT1G21060.1	1537	1358	16	17.0283
AT1G31830.1	1953	1774	7	5.70289
AT1G15950.1	1401	1222	45.4388	53.7411
AT1G70870.1	420	241	0	0
AT1G10790.1	1011	832	0	0
AT1G43970.1	720	541	0	0
AT1G65920.1	3276	3097	15	7.00004
AT1G75060.1	1153	974	2	2.96771
AT1G22850.1	1283	1104	77.3634	101.278
AT1G65640.1	1572	1393	0	0
AT1G51310.1	1769	1590	5	4.54489
AT1G36936.1	972	793	0	0
AT1G70880.1	746	567	1	2.54899
AT1G31840.1	2523	2344	1	0.616585
AT1G65630.1	1680	1501	0	0
AT1G54450.1	1838	1659	0	0
AT1G21065.1	799	620	55	128.21
AT1G74800.1	2391	2212	9	5.88042
AT1G65650.1	1289	1110	11	14.3226
AT1G31835.1	626	447	2	6.46656
AT1G42360.1	1851	1672	0	0
AT1G74810.1	2052	1873	2	1.54327
AT1G43950.1	669	490	0	0
AT1G75030.1	909	730	0	0
AT1G73500.1	1439	1260	10	11.4704
AT1G55610.1	3925	3746	4	1.54327
AT1G65890.1	1926	1747	0	0
AT1G65660.1	1857	1678	40	34.4523
AT1G70890.1	818	639	101	228.439
AT1G51300.1	639	460	0	0
AT1G75040.1	980	801	4	7.21736
AT1G65910.1	2094	1915	0	0
AT1G43960.1	4835	4656	0	0
AT1G70885.1	309	130	0	0
AT1G75050.1	741	562	0	0
AT1G73480.1	2039	1860	38	29.5271
AT1G80450.1	854	675	3	6.42345
AT1G70950.1	1644	1465	3	2.95961
AT1G15900.1	342	163	0	0
AT1G43890.1	994	815	47	83.3472
AT1G09510.1	1078	899	0	0
AT1G09665.1	498	319	0	0
AT1G77460.1	7084	6905	11	2.30239
AT1G15910.1	2453	2274	19.3802	12.3174
AT1G09500.1	1150	971	4	5.95376
AT1G74970.1	958	779	142	263.452
AT1G42380.1	2287	2108	0	0
AT1G73810.1	1452	1273	0	0
AT1G09520.1	1105	926	16	24.9724
AT1G51200.1	1035	856	143	241.442
AT1G74990.1	608	429	0	0
AT1G43895.1	1077	898	0	0
AT1G80460.1	1959	1780	48	38.9737
AT1G09490.1	1139	960	16	24.0879
AT1G09530.1	1957	1778	12	9.75439
AT1G20980.1	4014	3835	55	20.7276
AT1G65680.1	822	643	0	0
AT1G65690.1	1026	847	2	3.41269
AT1G09660.1	1387	1208	18	21.5356
AT1G73820.1	863	684	14	29.5817
AT1G74960.2	2285	2106	104	71.3716
AT1G51000.1	219	41.1625	0	0
AT1G73570.1	1815	1636	3	2.65026
AT1G42390.1	3102	2923	0	0
AT1G50990.1	1524	1345	0	0
AT1G73540.1	946	767	8	15.0746
AT1G73550.1	509	330	1	4.37962
AT1G10850.1	2743	2564	10	5.6368
AT1G77450.1	1117	938	8	12.3264
AT1G42385.1	318	139	0	0
AT1G77440.1	1002	823	18	31.6099
AT1G73560.1	532	353	0	0
AT1G09680.1	1824	1645	0	0
AT1G22860.1	3255	3076	12	5.63827
AT1G51210.1	1302	1123	0	0
AT1G36795.1	2869	2690	0	0
AT1G65875.1	1618	1439	0	0
AT1G43910.1	1624	1445	1	1.00019
AT1G65870.1	570	391	1	3.69636
AT1G09470.1	1214	1035	3.54857	4.95523
AT1G15930.2	825	646	125	279.659
AT1G65880.1	1748	1569	0	0
AT1G51250.1	672	493	0	0
AT1G50970.1	1710	1531	4	3.77603
AT1G36790.1	2759	2580	0	0
AT1G74830.1	1711	1532	0	0
AT1G73805.1	1690	1511	0	0
AT1G51260.1	1344	1165	0	0
AT1G09460.1	1263	1084	9	11.9995
AT1G43920.1	686	507	0	0
AT1G31817.1	1216	1037	20	27.8742
AT1G51240.1	384	205	0	0
AT1G65860.1	1591	1412	11	11.2592
AT1G54460.1	1465	1286	24	26.9725
AT1G51220.1	1303	1124	0	0
AT1G09483.1	339	160	0.451429	4.07774
AT1G15920.2	1629	1450	18	17.9414
AT1G75000.1	846	667	1	2.16683
AT1G43897.1	510	331	0	0
AT1G09486.1	1302	1123	0	0
AT1G09690.1	759	580	227.531	566.973
AT1G36775.1	2223	2044	0	0
AT1G51230.1	409	230	0	0
AT1G09700.1	1688	1509	8	7.66216
AT1G42377.1	2121	1942	0	0
AT1G10830.1	1308	1129	9	11.5212
AT1G43900.1	1249	1070	19	25.6638
AT1G49710.1	2004	1825	15	11.879
AT1G50980.1	1113	934	0	0
AT1G09480.1	1110	931	0	0
AT1G49630.1	3582	3403	14	5.94589
AT1G42280.1	370	191	0	0
AT1G14550.1	966	787	0	0
AT1G21340.1	783	604	0	0
AT1G07440.1	1005	826	7	12.2481
AT1G47950.1	6466	6287	0	0
AT1G14560.1	1826	1647	16	14.0403
AT1G07450.1	975	796	0	0
AT1G69190.1	1699	1520	0	0
AT1G07430.1	1817	1638	2	1.76468
AT1G16280.1	1476	1297	2	2.22864
AT1G49430.1	2327	2148	19	12.7841
AT1G07460.1	777	598	0	0
AT1G47930.1	1041	862	0	0
AT1G47920.1	1140	961	0	0
AT1G14570.2	1793	1614	28	25.0729
AT1G14540.1	1219	1040	2	2.77938
AT1G07470.1	1538	1359	20.7639	22.0821
AT1G47940.1	843	664	0	0
AT1G23120.1	713	534	1	2.70651
AT1G13200.1	1308	1129	0	0
AT1G23130.1	772	593	260	633.679
AT1G69180.1	934	755	0	0
AT1G16270.1	3953	3774	31	11.8716
AT1G13195.1	1224	1045	10	13.8304
AT1G42060.1	2727	2548	0	0
AT1G69110.1	259	80.003	0	0
AT1G69120.1	1228	1049	0	0
AT1G55680.1	1960	1781	45	36.5174
AT1G13190.1	2179	2000	43	31.0734
AT1G70530.1	1941	1762	20	16.4049
AT1G21323.1	387	208	0	0
AT1G73240.1	2022	1843	4	3.13679
AT1G73230.1	901	722	77	154.136
AT1G17580.1	4960	4781	35	10.5803
AT1G16250.1	1824	1645	18	15.8146
AT1G69160.1	1375	1196	51	61.6296
AT1G69170.1	1829	1650	4	3.5037
AT1G21330.1	981	802	0	0
AT1G70520.1	2194	2015	17	12.1934
AT1G16260.1	2387	2208	11	7.2002
AT1G21326.1	720	541	0	0
AT1G69150.1	1554	1375	0	0
AT1G14580.1	1950	1771	19	15.5055
AT1G69140.1	353	174	0	0
AT1G70540.1	741	562	0	0
AT1G13210.1	4065	3886	21	7.81029
AT1G73220.1	1857	1678	2	1.72262
AT1G07500.1	225	46.6066	0	0
AT1G76070.1	1230	1051	6	8.25086
AT1G07490.1	642	463	0	0
AT1G70505.1	1077	898	3	4.82831
AT1G13245.1	579	400	97	350.479
AT1G21380.1	1956	1777	21	17.0798
AT1G76080.1	1257	1078	148	198.424
AT1G21370.1	1612	1433	5	5.04283
AT1G13250.1	1441	1262	17	19.4688
AT1G13260.1	1575	1396	31	32.0942
AT1G21395.1	375	196	0	0
AT1G73177.1	432	253	4	22.8502
AT1G73175.1	1536	1357	1	1.06505
AT1G70510.1	1368	1189	2	2.43108
AT1G55860.1	12134	11955	83.9063	10.1437
AT1G73180.1	1912	1733	19	15.8455
AT1G21390.1	1164	985	3	4.40185
AT1G70500.1	1407	1228	0	0
AT1G76060.1	751	572	13.5193	34.1593
AT1G73190.1	1179	1000	1	1.44528
AT1G42040.1	570	391	0	0
AT1G76090.1	1373	1194	30	36.3135
AT1G47910.1	3429	3250	0	0
AT1G73210.1	1814	1635	2	1.76792
AT1G49800.1	575	396	0	0
AT1G47900.1	3391	3212	16	7.19938
AT1G47915.1	222	43.8484	0	0
AT1G14530.1	1454	1275	6	6.8013
AT1G42050.1	3209	3030	0	0
AT1G07473.1	924	745	0	0
AT1G16290.1	1445	1266	0	0
AT1G47890.1	3060	2881	0	0
AT1G13230.1	1428	1249	0	0
AT1G76110.1	1383	1204	15	18.0059
AT1G76100.1	782	603	183	438.616
AT1G73200.1	2485	2306	13	8.14769
AT1G07476.1	747	568	0	0
AT1G17430.1	1136	957	8	12.0817
AT1G07480.1	1972	1793	8.2361	6.63883
AT1G21360.1	1055	876	2	3.29972
AT1G17560.1	880	701	2	4.12347
AT1G76120.1	1714	1535	9	8.47393
AT1G72010.1	1709	1530	24	22.671
AT1G49440.1	2074	1895	0	0
AT1G71990.1	1432	1253	2	2.3069
AT1G07350.1	1456	1277	27	30.5579
AT1G62760.1	939	760	0	0
AT1G76200.1	559	380	81	308.072
AT1G07340.1	1686	1507	0	0
AT1G76190.1	372	193	0	0
AT1G17240.1	2302	2123	1	0.68077
AT1G47960.1	1528	1349	8	8.57095
AT1G76185.1	854	675	1	2.14115
AT1G17230.1	3577	3398	14	5.95464
AT1G77700.1	1071	892	4	6.48106
AT1G13120.1	2427	2248	19	12.2154
AT1G49780.1	1414	1235	6	7.02158
AT1G70580.1	1795	1616	21	18.7814
AT1G76210.1	1032	853	0	0
AT1G07360.1	1689	1510	18	17.2285
AT1G49520.1	1337	1158	2	2.49616
AT1G77720.1	2753	2574	3	1.68447
AT1G72000.1	1500	1321	0	0
AT1G77710.1	647	468	48	148.233
AT1G07330.1	2058	1879	0	0
AT1G17250.1	2271	2092	0	0
AT1G47970.1	924	745	37	71.7788
AT1G69070.1	2815	2636	14.4832	7.9409
AT1G71970.1	1000	821	28	49.2908
AT1G48010.1	537	358	0	0
AT1G71980.1	1952	1773	38	30.976
AT1G14610.1	3632	3453	75	31.3917
AT1G69050.1	425	246	0	0
AT1G69060.1	2309	2130	12.5168	8.49306
AT1G17270.1	1958	1779	6	4.87445
AT1G77680.1	3846	3667	14	5.51782
AT1G76180.1	1018	839	271	466.829
AT1G14600.1	942	763	2	3.7884
AT1G77690.1	1727	1548	18	16.8055
AT1G49770.1	1178	999	0	0
AT1G47980.1	1148	969	0	0
AT1G17260.1	2844	2665	0	0
AT1G48000.1	905	726	0	0
AT1G69100.1	1104	925	0	0
AT1G47990.1	966	787	0	0
AT1G69090.1	1206	1027	0	0
AT1G69080.1	883	704	3	6.15884
AT1G14590.1	1328	1149	3	3.77357
AT1G13180.1	1915	1736	6	4.99519
AT1G77730.1	798	619	1	2.33486
AT1G07370.1	1025	846	6	10.2502
AT1G55675.1	870	691	13	27.1904
AT1G07420.1	1168	989	8	11.6908
AT1G42090.1	614	435	0	0
AT1G16225.1	669	490	0	0
AT1G49480.1	1598	1419	30	30.5555
AT1G49475.1	904	725	0	0
AT1G13160.1	2654	2475	20	11.679
AT1G76140.1	2629	2450	34.5039	20.3541
AT1G42080.1	456	277	0	0
AT1G17420.1	2957	2778	1	0.520258
AT1G49470.1	1141	962	7	10.5166
AT1G16240.1	1088	909	46	73.1383
AT1G73250.1	1254	1075	11	14.7889
AT1G16220.1	1476	1297	2	2.22864
AT1G16230.1	582	403	0	0
AT1G42070.1	1475	1296	0	0
AT1G49450.1	2017	1838	2	1.57266
AT1G76130.1	1491	1312	5	5.50791
AT1G62770.1	868	689	11	23.0741
AT1G07410.1	755	576	2	5.01832
AT1G13150.1	1822	1643	1	0.879656
AT1G70560.1	1399	1220	2	2.3693
AT1G76160.1	2008	1829	72	56.8944
AT1G55670.1	780	601	1952	4694.14
AT1G49510.1	1215	1036	16	22.3209
AT1G17220.1	3686	3507	151	62.2289
AT1G07380.1	2340	2161	4	2.6752
AT1G77740.1	2698	2519	21	12.0487
AT1G13130.1	1786	1607	3	2.69809
AT1G76170.1	1139	960	4	6.02198
AT1G13140.1	1835	1656	0	0
AT1G16210.1	1034	855	37	62.5441
AT1G13145.1	475	296	2	9.76538
AT1G07400.1	816	637	4	9.07551
AT1G77750.1	691	512	5	14.114
AT1G42100.1	2791	2612	0	0
AT1G49490.1	2544	2365	2	1.22222
AT1G62766.1	2229	2050	0	0
AT1G49500.1	990	811	193	343.944
AT1G76150.1	1489	1310	40.4961	44.6779
AT1G48020.1	758	579	0	0
AT1G72020.1	628	449	82	263.948
AT1G72030.1	900	721	20	40.0909
AT1G16320.1	1129	950	15	22.8201
